,Reviews
1007,verygood like
1008,buen producto sólido fácil de usar
1009,love super sturdy rubber makes easy wrap around bed pole good steady bed footage lol
1010,money worth comfort
1011,love helped made videos channel
1012,encantó un agarre muy versátil justo lo que esperaba los va defraudar quedo perfectamente con mi canon t6 e incluso tiene otro adaptador para colocar tu celular
1013,great product
1014,el envio fue excelente ademas el trípode ufo basic se siente super firme buenos materiales duraderos 👌🏻altamente recomendado
1015,perfect product travelling
1016,funciona como debe ser
1017,tripod good amazing setting pictures trees wrap around things also good vlogging light easy traveling easy bend put back place stable recommend a6000
1018,ya sólo usarlo para ver su durabilidad pero parece ser fuerte versátil
1019,love
1020,muy buenos materiales funcionó perfecto con el estabilizador dji osmo mobile cumple todas las funciones
1021,work discribe
1022,excellent workmanship great product
1023,great kinds uses camera lighting sound high quality worth every cent
1024,remote shutter cheap product
1025,¡me encantó es súper útil flexible lo puedes llevar todos lados el tamaño es perfecto
1026,advertised arrived time
1027,best mini tripod ever
1028,works great tripod wrapped around tree
1029,product great price lasted month daily use broke places
1030,none
1031,stars
1032,good product
1033,great product travekking used gopro hero
1034,love looks feel fits great sony camera
1035,gracias está súper padre el producto
1036,used make vlogs didn’t disappoint
1037,pictured fast delivery
1038,buena relación entra calidad preciolos brazos son fuertes
1039,great value versatile
1040,es muy durable materiales de calidad
1041,sturdy versatile exactly needed
1042,love strong easy use
1043,il est léger et je peux l utiliser de plusieurs formes
1044,muy resistente útil
1045,tripod great however remote missing
1046,fait le travail compact
1047,gusti mucho muy practico
1048,used eveything
1049,great price sturdy
1050,x
1051,better gorilla pod
1052,great quality strong light weight
1053,loving tripod
1054,hold camera well phone love
1055,cool tool
1056,super functional well built
1057,good quality
1058,es muy fácil de usar
1059,jewellery photography
1060,good quality
1061,actually loving
1062,nice
1063,vlogging
1064,like
1065,works dslr mobile
1066,utilisé avec caméra gopro parfait
1067,good quality
1068,received tripod today quite satisfied plastic quality nice phone mount nice legs sturdy flexible perfect beginners going many products like adofy went glad big cameras could concern entry level mirror less cameras good
1069,read comments expecting much sturdy dropped camera twice even point needed repair wish legs bit longer stronger wouldn’t purchase
1070,value money product good grip product feels looks like it’s quality product
1071,costs worth hand looks cool got great quality legs finds move ease looks strong would totally recommend smart phone mount great help quality one seems support dslr well canon 1300d goes well kit lens camera mounted pod
1072,honestly telling guys best phone vloggers worst camera vloggers handle load camera use phone best tried camera sliding shifting
1073,best quality gorrillapod one price within wide range options go withstand sony a7m3 good enough ✌️
1074,spending much rupees better increase budget little bit get much better gorillapod
1075,best combo gorilla pod pixi mini tripod superb beginners
1076,good product needed accessory every photographer comes handy
1077,good branding good qualityvalue moneyhave used less time though update fully used
1078,foreign language tutor looking good tripod review opinion ordered tripod n feel taken good decision planning get bigger one kind it’s available
1079,good alternative gorilla pod
1080,nice professional look flexible
1081,best
1082,okay point shoot cameras hold good dslr tried canon 550d lens even light setup could remain steady better joby gorilla pod
1083,worth buying fake varients much better telling seeing using well worth money
1084,loving
1085,best
1086,overpriced flexible better options available amazon
1087,nice product
1088,best class
1089,nice full flexible
1090,product good received broken one disappointed
1091,used even days leg got broken amazon raised hands kind help although really easy use pod durable even days expect product amazon
1092,loved product initially broke within months one leg came warranty product well
1093,first order came broken replaced item broken first use
1094,good product thing can’t phone portrait mode unless twist legs awkwardly sitting
1095,esta lejos de sustituir un trípode pero para viajar es una opción excelente ocupa poco espacio lo puedes acomodar de mil formas la parte negativa es que al ser pequeña en varias situaciones queda deber como trípode pero hace la chamba
1096,de verdad ha sacado de apuros en los que toca llegar grabar en espacios improvisados como calles en espacios interiores sobre mesas para grabar charlas muy recomendable
1097,works great
1098,es muy versátil muy económico
1099,pues gustó su calidad su resistencia 🥳🇲🇽🇲🇽🌹🤠
1100,great job legs sturdy super flexible grip bit fiddly works well easily accommodates iphone pro max room spare good value
1101,está medio equis
1102,better quality expected youre looking nice quality tripod less bonus works camera phones
1103,avoid buy item save money get good brand better buying cheap one worth dollar unstable footage carrying tripod since first day uncomfortable sometimes slips honestly started use stand light rgb put onto desk
1104,perfect smartphone new canon mirrorless camera easy use comfortable hand happy thst bought
1105,lo recomiendo
1106,lo recomiendo
1107,nice described
1108,liked
1109,es muy práctico resistente llego al otro día de pedirlo
1110,size perfect fixation strong enough support phone securely even otterbox case protector
1111,good indoor outdoor shooting
1112,encanto porque el material es súper flexible aparte de calidad lo uso para ver mi teléfono súper comodo
1113,es bueno es la mejor calidad pero si es lo que muestra la fotografía para el precio está bien
1114,hard get legs position reliably support camera continue flex camera lens weight
1115,compre este trípode para un viaje fue de lo mejor en tamaño precio muy versatil para utilizar lo recomiendo mucho
1116,es un buen producto que cumple con su función por el precio que pagas creo que está bien pero creo que sería mucho mejor es una buena compra si piensas usarla para cosas simples pero si quieres algo más elaborado entonces si recomiendo buscar otra opción
1117,ya llevo usandolo en muchos lugares donde va el celular se acomoda fácil el mecanismo que se dobla delas tres patas muy fácil de acomodar cualquier espacio
1118,media could loaded excelente para viaje cabe en cualquier bolso es super versatil tengo un con un adaptador para idap que compré aparte funciona bastante bien los materiales son flexibles duraderos definitivamente recomendado 👌
1119,month garbage trust good 1month using month leg breaks durable waste money
1120,start third fourth umidigi phones quality phone vs price good deal especially mid budget phone performance disappointed phone comes pre install screen protector case charging outlet usb c cable good stock android bloatware huge battery easily last two days use email checking surf web stream music fast processor see slow lag use still come 5mm audio jack 5g phone download speed great connected 5g network sd expansions slot use slot two 5g sim cardpersonal dislike camera quality nothing brag mid budget phone expected fingerprint reader side work great personally like placementoverall aside couple personal dislike happy phone price new phone ever years instead paying premiums flagship phone could cost easily times price pay phone
1121,128gb 8gb plus sd ram slot made unit stand also came android case pre installed screen protector cameras main macro wide angle back temperature sensor take body temps give temp objects 48gb main camera takes good pics call quality good processor ran android games without issues battery life battery lasts day wireless charging function box includes nice 17w charger power button doubles finger print reader handy facial recognition also function times phone unlocks thumb print updated battery life performance used battery depletes like phones use seems use per day
1122,media could loaded recently purchased umidigi a13 pro 5g phone absolutely adore phone hence review start things comes case screen protector straight factory bonus phone quick bright lot storage upgrade previous phone quick easy android os camera quality good fingerprint reader works great also first 5g cell phone speeds impressive overall enjoyed using phone last week look forward owning years come
1123,media could loaded 【見た目】背面はプラスチック製ですが、レザー調で購入感があります。重さは200g程度なので、軽く感じます。ガラス外面や金属筐体ではもっと重くなるかと思います。重さのわりに迫力のある大画面・高解像度でさらにはリフレッシュレートも高くぬるぬる動きます。女性にはちょうどいいのではないでしょうか。umidigiはじめ最近のスマホではよく見る光景ですが、画面保護フィルム（ガラスではない）とtpuケースが標準装備で、すぐに持ち出すことが可能です。【スペック・動作】試しにツムツムをプレイしてみましたが、さすがdimensity 700を搭載してるだけあって、遅延などはなくスムーズにプレイできます。１万円台、２万円台のmtk系海外スマホではカクつきが起こることが多く、まともにプレイできませんが、本機であれば「多少ゲームをする」という方にも満足いくスペックかと思います。【その他】温度センサー（カメラで温度をみる）機能や、スマートキーで好きなアプリを起動できたりと、umidigiらしさはそのままで、他社格安スマホにも引けを取らない良機種だと思います。付属acでは1400mah充電が可能でした。２時間もかからず満充電になるかと思います。
1124,media could loaded looking new phone replacing year old umidigi f2 phone found budget 8gb 128gb 5g phone amazon less applying coupon much less costco moto 5g phone higher price 4gb memory a13 pro 5g similar physical dimensions comparing f2 better contour design comes polycarbonate textured material back smart button activates touchless temperature sensor convenient applying person object able customize smart button one press two presses long press impressive phone great speed improvement play call duty modern warfare gaming found lag watching tubi full movies hour great sound resolution extended battery life 5150mah provides good average usage whole day including gaming regular train ride time camera quality average budget phone surprisingly well 5m macro lens shot good close fish eggs roe running shoe texture play around camera’s various settings iso exposure contrast level beauty making photo shot much fun impressive experience 5g value phone highly recommended
1125,never believe buy cell phone good iphone good price
1126,3rd umidigi years first two excellent like features phone camera best storage speed customize text phone sound sure fluke use phone speaker mode trying live think return another unit backup service staff call first phone bought amazon disappointment update nov finally returned usual amazon top notch credit
1127,second umidigi phone great value compared big brands anything need daily use speed good fingerprint face recognition work perfectly photos sharp battery support two days heavy use nfc nice convenient feature phone provides love device
1128,really good phone money love camera great size watch movies play videos easy navigate fast come clear case protective glass already
1129,start third fourth umidigi phones quality phone vs price good deal especially mid budget phone performance disappointed phone comes pre install screen protector case charging outlet usb c cable good stock android bloatware huge battery easily last two days use email checking surf web stream music fast processor see slow lag use still come 5mm audio jack 5g phone download speed great connected 5g network sd expansions slot use slot two 5g sim cardpersonal dislike camera quality nothing brag mid budget phone expected fingerprint reader side work great personally like placementoverall aside couple personal dislike happy phone price new phone ever years instead paying premiums flagship phone could cost easily times price pay phone
1130,128gb 8gb plus sd ram slot made unit stand also came android case pre installed screen protector cameras main macro wide angle back temperature sensor take body temps give temp objects 48gb main camera takes good pics call quality good processor ran android games without issues battery life battery lasts day wireless charging function box includes nice 17w charger power button doubles finger print reader handy facial recognition also function times phone unlocks thumb print updated battery life performance used battery depletes like phones use seems use per day
1131,media could loaded recently purchased umidigi a13 pro 5g phone absolutely adore phone hence review start things comes case screen protector straight factory bonus phone quick bright lot storage upgrade previous phone quick easy android os camera quality good fingerprint reader works great also first 5g cell phone speeds impressive overall enjoyed using phone last week look forward owning years come
1132,media could loaded 【見た目】背面はプラスチック製ですが、レザー調で購入感があります。重さは200g程度なので、軽く感じます。ガラス外面や金属筐体ではもっと重くなるかと思います。重さのわりに迫力のある大画面・高解像度でさらにはリフレッシュレートも高くぬるぬる動きます。女性にはちょうどいいのではないでしょうか。umidigiはじめ最近のスマホではよく見る光景ですが、画面保護フィルム（ガラスではない）とtpuケースが標準装備で、すぐに持ち出すことが可能です。【スペック・動作】試しにツムツムをプレイしてみましたが、さすがdimensity 700を搭載してるだけあって、遅延などはなくスムーズにプレイできます。１万円台、２万円台のmtk系海外スマホではカクつきが起こることが多く、まともにプレイできませんが、本機であれば「多少ゲームをする」という方にも満足いくスペックかと思います。【その他】温度センサー（カメラで温度をみる）機能や、スマートキーで好きなアプリを起動できたりと、umidigiらしさはそのままで、他社格安スマホにも引けを取らない良機種だと思います。付属acでは1400mah充電が可能でした。２時間もかからず満充電になるかと思います。
1133,media could loaded looking new phone replacing year old umidigi f2 phone found budget 8gb 128gb 5g phone amazon less applying coupon much less costco moto 5g phone higher price 4gb memory a13 pro 5g similar physical dimensions comparing f2 better contour design comes polycarbonate textured material back smart button activates touchless temperature sensor convenient applying person object able customize smart button one press two presses long press impressive phone great speed improvement play call duty modern warfare gaming found lag watching tubi full movies hour great sound resolution extended battery life 5150mah provides good average usage whole day including gaming regular train ride time camera quality average budget phone surprisingly well 5m macro lens shot good close fish eggs roe running shoe texture play around camera’s various settings iso exposure contrast level beauty making photo shot much fun impressive experience 5g value phone highly recommended
1134,never believe buy cell phone good iphone good price
1135,3rd umidigi years first two excellent like features phone camera best storage speed customize text phone sound sure fluke use phone speaker mode trying live think return another unit backup service staff call first phone bought amazon disappointment update nov finally returned usual amazon top notch credit
1136,really good phone money love camera great size watch movies play videos easy navigate fast come clear case protective glass already
1137,second umidigi phone great value compared big brands anything need daily use speed good fingerprint face recognition work perfectly photos sharp battery support two days heavy use nfc nice convenient feature phone provides love device
1138,start third fourth umidigi phones quality phone vs price good deal especially mid budget phone performance disappointed phone comes pre install screen protector case charging outlet usb c cable good stock android bloatware huge battery easily last two days use email checking surf web stream music fast processor see slow lag use still come 5mm audio jack 5g phone download speed great connected 5g network sd expansions slot use slot two 5g sim cardpersonal dislike camera quality nothing brag mid budget phone expected fingerprint reader side work great personally like placementoverall aside couple personal dislike happy phone price new phone ever years instead paying premiums flagship phone could cost easily times price pay phone
1139,128gb 8gb plus sd ram slot made unit stand also came android case pre installed screen protector cameras main macro wide angle back temperature sensor take body temps give temp objects 48gb main camera takes good pics call quality good processor ran android games without issues battery life battery lasts day wireless charging function box includes nice 17w charger power button doubles finger print reader handy facial recognition also function times phone unlocks thumb print updated battery life performance used battery depletes like phones use seems use per day
1140,media could loaded recently purchased umidigi a13 pro 5g phone absolutely adore phone hence review start things comes case screen protector straight factory bonus phone quick bright lot storage upgrade previous phone quick easy android os camera quality good fingerprint reader works great also first 5g cell phone speeds impressive overall enjoyed using phone last week look forward owning years come
1141,media could loaded 【見た目】背面はプラスチック製ですが、レザー調で購入感があります。重さは200g程度なので、軽く感じます。ガラス外面や金属筐体ではもっと重くなるかと思います。重さのわりに迫力のある大画面・高解像度でさらにはリフレッシュレートも高くぬるぬる動きます。女性にはちょうどいいのではないでしょうか。umidigiはじめ最近のスマホではよく見る光景ですが、画面保護フィルム（ガラスではない）とtpuケースが標準装備で、すぐに持ち出すことが可能です。【スペック・動作】試しにツムツムをプレイしてみましたが、さすがdimensity 700を搭載してるだけあって、遅延などはなくスムーズにプレイできます。１万円台、２万円台のmtk系海外スマホではカクつきが起こることが多く、まともにプレイできませんが、本機であれば「多少ゲームをする」という方にも満足いくスペックかと思います。【その他】温度センサー（カメラで温度をみる）機能や、スマートキーで好きなアプリを起動できたりと、umidigiらしさはそのままで、他社格安スマホにも引けを取らない良機種だと思います。付属acでは1400mah充電が可能でした。２時間もかからず満充電になるかと思います。
1142,media could loaded looking new phone replacing year old umidigi f2 phone found budget 8gb 128gb 5g phone amazon less applying coupon much less costco moto 5g phone higher price 4gb memory a13 pro 5g similar physical dimensions comparing f2 better contour design comes polycarbonate textured material back smart button activates touchless temperature sensor convenient applying person object able customize smart button one press two presses long press impressive phone great speed improvement play call duty modern warfare gaming found lag watching tubi full movies hour great sound resolution extended battery life 5150mah provides good average usage whole day including gaming regular train ride time camera quality average budget phone surprisingly well 5m macro lens shot good close fish eggs roe running shoe texture play around camera’s various settings iso exposure contrast level beauty making photo shot much fun impressive experience 5g value phone highly recommended
1143,never believe buy cell phone good iphone good price
1144,3rd umidigi years first two excellent like features phone camera best storage speed customize text phone sound sure fluke use phone speaker mode trying live think return another unit backup service staff call first phone bought amazon disappointment update nov finally returned usual amazon top notch credit
1145,second umidigi phone great value compared big brands anything need daily use speed good fingerprint face recognition work perfectly photos sharp battery support two days heavy use nfc nice convenient feature phone provides love device
1146,really good phone money love camera great size watch movies play videos easy navigate fast come clear case protective glass already
1147,start third fourth umidigi phones quality phone vs price good deal especially mid budget phone performance disappointed phone comes pre install screen protector case charging outlet usb c cable good stock android bloatware huge battery easily last two days use email checking surf web stream music fast processor see slow lag use still come 5mm audio jack 5g phone download speed great connected 5g network sd expansions slot use slot two 5g sim cardpersonal dislike camera quality nothing brag mid budget phone expected fingerprint reader side work great personally like placementoverall aside couple personal dislike happy phone price new phone ever years instead paying premiums flagship phone could cost easily times price pay phone
1148,128gb 8gb plus sd ram slot made unit stand also came android case pre installed screen protector cameras main macro wide angle back temperature sensor take body temps give temp objects 48gb main camera takes good pics call quality good processor ran android games without issues battery life battery lasts day wireless charging function box includes nice 17w charger power button doubles finger print reader handy facial recognition also function times phone unlocks thumb print updated battery life performance used battery depletes like phones use seems use per day
1149,media could loaded recently purchased umidigi a13 pro 5g phone absolutely adore phone hence review start things comes case screen protector straight factory bonus phone quick bright lot storage upgrade previous phone quick easy android os camera quality good fingerprint reader works great also first 5g cell phone speeds impressive overall enjoyed using phone last week look forward owning years come
1150,media could loaded 【見た目】背面はプラスチック製ですが、レザー調で購入感があります。重さは200g程度なので、軽く感じます。ガラス外面や金属筐体ではもっと重くなるかと思います。重さのわりに迫力のある大画面・高解像度でさらにはリフレッシュレートも高くぬるぬる動きます。女性にはちょうどいいのではないでしょうか。umidigiはじめ最近のスマホではよく見る光景ですが、画面保護フィルム（ガラスではない）とtpuケースが標準装備で、すぐに持ち出すことが可能です。【スペック・動作】試しにツムツムをプレイしてみましたが、さすがdimensity 700を搭載してるだけあって、遅延などはなくスムーズにプレイできます。１万円台、２万円台のmtk系海外スマホではカクつきが起こることが多く、まともにプレイできませんが、本機であれば「多少ゲームをする」という方にも満足いくスペックかと思います。【その他】温度センサー（カメラで温度をみる）機能や、スマートキーで好きなアプリを起動できたりと、umidigiらしさはそのままで、他社格安スマホにも引けを取らない良機種だと思います。付属acでは1400mah充電が可能でした。２時間もかからず満充電になるかと思います。
1151,media could loaded looking new phone replacing year old umidigi f2 phone found budget 8gb 128gb 5g phone amazon less applying coupon much less costco moto 5g phone higher price 4gb memory a13 pro 5g similar physical dimensions comparing f2 better contour design comes polycarbonate textured material back smart button activates touchless temperature sensor convenient applying person object able customize smart button one press two presses long press impressive phone great speed improvement play call duty modern warfare gaming found lag watching tubi full movies hour great sound resolution extended battery life 5150mah provides good average usage whole day including gaming regular train ride time camera quality average budget phone surprisingly well 5m macro lens shot good close fish eggs roe running shoe texture play around camera’s various settings iso exposure contrast level beauty making photo shot much fun impressive experience 5g value phone highly recommended
1152,never believe buy cell phone good iphone good price
1153,3rd umidigi years first two excellent like features phone camera best storage speed customize text phone sound sure fluke use phone speaker mode trying live think return another unit backup service staff call first phone bought amazon disappointment update nov finally returned usual amazon top notch credit
1154,second umidigi phone great value compared big brands anything need daily use speed good fingerprint face recognition work perfectly photos sharp battery support two days heavy use nfc nice convenient feature phone provides love device
1155,really good phone money love camera great size watch movies play videos easy navigate fast come clear case protective glass already
1156,lo único es que con el sistema core de samsung es un poco más lento que otros
1157,todo ok
1158,es muy buen celular hay ni una queja es samsung por el precio que lo adquirí es muy bueno solo hay que saber antes de comprar que el celular esta bloqueado se puede usar en redes móviles así que tengan en cuenta eso yo lo compre para mi niña solo lo usa en casa
1159,vivo en mexico pude activar el celular tampoco hay opcion de liberarlo para otra compañia eso lo especifican en la publicacion
1160,lo único es que con el sistema core de samsung es un poco más lento que otros
1161,es muy buen celular hay ni una queja es samsung por el precio que lo adquirí es muy bueno solo hay que saber antes de comprar que el celular esta bloqueado se puede usar en redes móviles así que tengan en cuenta eso yo lo compre para mi niña solo lo usa en casa
1162,todo ok
1163,vivo en mexico pude activar el celular tampoco hay opcion de liberarlo para otra compañia eso lo especifican en la publicacion
1164,really good simple charger like others actually comes cord box plug charge pro max won’t fit case standing straight turn sideways still charge without case fits fine it’s metal sort metal definitely durable
1165,easy use great product sure
1166,move update wireless charger completely stopped working days initial use exchanging hopefully next one last bit longer although asked questions got response seller thought purchase one check one question asked whether charger supports qi epp extended power profile standard promulgated wireless power consortium fast 15w wireless charging standard primarily used google pixel sony xperia lg phones nothing equipment stand included adapter box documentation suggests supports qi epp asked pixel phones charger supports product description says supports 15w pixel lg phones nothing box suggest supports pixel lg phones however documentation picture included says supports google pixel 6a pro 5a 4a 4a 5g 4xl 3a 3axl 3xl cellphones support 15w charging new pixel caseology athlex case purchased product desk anker nano 30w gan charger travel following charging results thus far using charger included fast charging adapter pixel reports charging wirelessly predicting full charge charge ampere see attached photo reports charge rate 2200ma charge rate predicted full charge remain roughly landscape orientation swapping included fast charging adapter anker nano appear change charge rate comparison wired charging anker nano seemed slightly faster although ampere see attached photo reported charge rate 4070ma nearly double wireless rate charger pixel predicted full charge charging rapidly predicted improvement unit appears well designed lightweight sturdy problem holding pixel fact back short enough pixel camera bump interfere flat contact phone charger improvement wireless stand chargers used one vaunted benefits charger full aluminum body purportedly aids heat dissipation noticed using charger aluminum becomes warm touch seems functioning intended
1167,getting new cell phones months ago decided try wireless charging function bought two expensive sleek stylish wireless chargers well reviewed one bought wife works well enough mine flakey sometimes works sometimes usually end rebooting blame thing kicks thought would try one happy report happy fancy like previous charger indicator lights show level charge phone bells whistles useless gizmo work besides phone lets know far charging missing feature style charger function first foremost come several different colors like set phone upright lay horizontal best part thing quick blister far dependable fast update review changes could spend lot charger getting pure functionality little beauty right
1168,love color display look charger opposed laying table note ultra makes nervous small bump make fall stand wish bottom egde bit wider secure hold phone hangs love ease able set starts charging
1169,deducted star originally bought s22 ultra set phone cradle cover without cover works great works great really ment larger phones cases
1170,magnetic hold works well keep samsung galaxy s20 place feel like phone fall tapping alarm charger bit longer hold length phone would giving stars find fantastic usb wall charger included correct amperage fast charging key item missing unknown brands kudos including great deal
1171,use wireless charger two extra places charging apple airpods apple watch looking charger accommodate phone charge without extras son two items bit challenging excited find charger actually better expected sturdy simple design look sleek cool also performs well like put stand horizontally vertically charges either way horizontal presentation allows viewing movies comes everything needed including often left adapter plugs wall definitely great find ps charges well case
1172,charger job able hold large phone like samsung galaxy note s20 plus protective case using supplied wall adapter able quick charge even phone case able fully charge phone hours par samsung quick wireless chargers love slim metal look quality feels solid cooling fan like samsung wireless chargers metal frame acts like giant heat sink stays fairly cool touch able charge phone either vertical horizontal nice want watch videos charges happy wireless charger
1173,wireless charging stand deceptive — looks bare bones really well designed compact package iphone pro max plus pelican magsafe case fits securely either portrait landscape orientation easily positioned pair charging coil positioning prongs rubberized worries scratching phone case following minimalist design charge indicator lights phone display want use nightstand charger light small footprint moving parts easy find space tuck bag traveling completing package ac adapter usb c cable included simple yet elegant device job well
1174,really good simple charger like others actually comes cord box plug charge pro max won’t fit case standing straight turn sideways still charge without case fits fine it’s metal sort metal definitely durable
1175,easy use great product sure
1176,move update wireless charger completely stopped working days initial use exchanging hopefully next one last bit longer although asked questions got response seller thought purchase one check one question asked whether charger supports qi epp extended power profile standard promulgated wireless power consortium fast 15w wireless charging standard primarily used google pixel sony xperia lg phones nothing equipment stand included adapter box documentation suggests supports qi epp asked pixel phones charger supports product description says supports 15w pixel lg phones nothing box suggest supports pixel lg phones however documentation picture included says supports google pixel 6a pro 5a 4a 4a 5g 4xl 3a 3axl 3xl cellphones support 15w charging new pixel caseology athlex case purchased product desk anker nano 30w gan charger travel following charging results thus far using charger included fast charging adapter pixel reports charging wirelessly predicting full charge charge ampere see attached photo reports charge rate 2200ma charge rate predicted full charge remain roughly landscape orientation swapping included fast charging adapter anker nano appear change charge rate comparison wired charging anker nano seemed slightly faster although ampere see attached photo reported charge rate 4070ma nearly double wireless rate charger pixel predicted full charge charging rapidly predicted improvement unit appears well designed lightweight sturdy problem holding pixel fact back short enough pixel camera bump interfere flat contact phone charger improvement wireless stand chargers used one vaunted benefits charger full aluminum body purportedly aids heat dissipation noticed using charger aluminum becomes warm touch seems functioning intended
1177,getting new cell phones months ago decided try wireless charging function bought two expensive sleek stylish wireless chargers well reviewed one bought wife works well enough mine flakey sometimes works sometimes usually end rebooting blame thing kicks thought would try one happy report happy fancy like previous charger indicator lights show level charge phone bells whistles useless gizmo work besides phone lets know far charging missing feature style charger function first foremost come several different colors like set phone upright lay horizontal best part thing quick blister far dependable fast update review changes could spend lot charger getting pure functionality little beauty right
1178,love color display look charger opposed laying table note ultra makes nervous small bump make fall stand wish bottom egde bit wider secure hold phone hangs love ease able set starts charging
1179,deducted star originally bought s22 ultra set phone cradle cover without cover works great works great really ment larger phones cases
1180,magnetic hold works well keep samsung galaxy s20 place feel like phone fall tapping alarm charger bit longer hold length phone would giving stars find fantastic usb wall charger included correct amperage fast charging key item missing unknown brands kudos including great deal
1181,use wireless charger two extra places charging apple airpods apple watch looking charger accommodate phone charge without extras son two items bit challenging excited find charger actually better expected sturdy simple design look sleek cool also performs well like put stand horizontally vertically charges either way horizontal presentation allows viewing movies comes everything needed including often left adapter plugs wall definitely great find ps charges well case
1182,charger job able hold large phone like samsung galaxy note s20 plus protective case using supplied wall adapter able quick charge even phone case able fully charge phone hours par samsung quick wireless chargers love slim metal look quality feels solid cooling fan like samsung wireless chargers metal frame acts like giant heat sink stays fairly cool touch able charge phone either vertical horizontal nice want watch videos charges happy wireless charger
1183,wireless charging stand deceptive — looks bare bones really well designed compact package iphone pro max plus pelican magsafe case fits securely either portrait landscape orientation easily positioned pair charging coil positioning prongs rubberized worries scratching phone case following minimalist design charge indicator lights phone display want use nightstand charger light small footprint moving parts easy find space tuck bag traveling completing package ac adapter usb c cable included simple yet elegant device job well
1184,received intoval wireless charing stand y3 last friday amazon say thing amazing well constructed aluminum giving premium feal charge phone either standing sideways also comes wall charger usb plugs charger usb c plug stand gun grey one matches really well macbook pro fast charging stand output rating 5w 5w 10w 15w run issues charging iphone pro max thing note cord comes unit little smaller side need longer cord may want order longer usb cable one comes feet long fence purchasing pull trigger sorry
1185,wireless charging stand exactly looking desk office stylish thing look job came wall charger piece go charging cord convenient like charges phone either vertical horizontal position wide enough charge galaxy s22 phone slim case wish came true black color like purchase another
1186,quality made aluminum phone charging stand got silver one perfect size iphone pro otterbox cover narrow take lot counter space charged phone hour minutes nice feature came ready use included charger cord electric outlet plug rooting around adapter make work phone actually sits little higher charger found weight phone seems keep stabilized said nice product
1187,first charges fast basic charger husband using work personal cell work cell personal phone protective rhinoshield case work phone pictured otterbox charge work phone case doesn’t fit vertically unless balance like pictured ordered specifically personal phone fits inside perfectly fine charges orientations cases
1188,item arrived looking like picture ordered put kitchen counter meet couple needs wanted something hold phone upright cooking following recipe also wanted able charge always seem find low power need unboxed plugged good go holds charges iphone pro without issue vertical horizontal position bonus far completely met needs
1189,really like charger many reasons single formed piece metal hinges collapse fail unexpectedly plastic crack design meant portable though metal rigid also thin gives sleek unobtrusive look green color nice shiny metallic finish charging port generic usb c goes straight back allowing hide cable main negative width limited want set phone vertically 85mm measured maximum width galaxy s20 thin case fits room spare also place phone horizontally looks bit awkward
1190,used two nights seems charge well sturdy cell phone fall stand given extra room bedside table color pink gorgeous
1191,works great phone able charge without taking protective case like set upwards sideways perfect size nightstand charges fast
1192,super easy install holds phone either way even otterbox case charge thicker case like otterbox won’t sit vertically set horizontally come ac block plug great
1193,media could loaded charging phone holder made metal great quality surprisingly happy i’ll never buy others something happens i’ll buy another one that’s good quality says i’m saying i’m vine reviewer i’ve using week awesome put phone upright put phone sideways holds ways great value durable sturdy also
1194,love iphone apple watch charger drop watch watch charger connects goes phone charger missed connections charging stand takes less room table cords great charging station
1195,cute great pink color seems like great product thing flippin slow charge really inexcusable daughter put phone iphone pro max listed compatible device hours later consistent experience charger absolutely unacceptable charger charge phone overnight frankly understand positive reviews experience thing essentially phone stand recommend
1196,thing find complain lack lip edge keep phone sliding front trying tap buttons sits bracket back think notices rubbery pads work well enough charges quickly love two orientations
1197,best phone ever
1198,great product
1199,got seems nice phone
1200,awesome
1201,nice phone
1202,couple updatesbetter camera great crease still visible mean come surly design screen could improved aspect ratio feels wrongbattery life betterbut overall worth upgrade paying paying flip screen nothing
1203,like phone dex dex allows use samsung phone hdmi inputs monitors tv screens would primary phone needs flip kind gimicky imo like use rear camera selfies folded flip mode takes good photos backup photos usb c memory stick needed memory card option although 256k internal memory awaiting high quality skin front screen also rear order amz got phone two year added line carrier monthly rate plan like phone payment brainer complain price wa h sure worth 1k retail better primary phones imo purchased great amazon padded holster type case loops belt padded would highly recommend also got case protects rear hinge texture makes less slippery yet protected falls closed ideally phone leave grip use disliking nosy permissions disabled certain apps like camera come samsung google etc stop spying us selling souls strangers prefer sony xperia mark photos itrusions sony imo makes highest quality phones perhaps trailing software area compared samapple
1204,got mine verizon overall great phone know people touched one want talk
1205,title suggests experience samsung galaxy z flip4 ideal like people experienced short battery life despite larger battery claims power efficient chipset latest iteration flip series least experienced started randomly power cycling straight turning battery charge remaining usb port started rejecting cables anything charging even though worked fine samsung galaxy s20 fe replaced flip4 still worked devices data transfer happened within two weeks receiving device things genuinely like flip ability start stop playback audiobooks without open device turn main screen brilliant leave desk work bluetooth earbuds stop start moment hassles new chipset much greater ability maintain stable 5g data connection previous phone vital ability fold use camera feels great use shame bad experience hardware might change mind future right would recommend phone far expensive shortcomings apparently delicate
1206,reason screen fold made soft plastic put another layer slightly harder plastic top base screen protect scratches harder screen protector layer folded months starts peel crack would fine samsung possible way replace crease need special machine reapply new protector handful places united states necessary equipment live cities us luck contact fix might let ship days get repaired due common theyve recently stopped acknowledging damage design problem longer covered warranty pay like get replaced every months phone days really frustrating otherwise great phone ruined terrible support samsung wish never bought
1207,best phone ever
1208,great product
1209,got seems nice phone
1210,awesome
1211,nice phone
