,Reviews
136,"
This was easy to set up and use and the additional bracket for a phone camera was a bonus. We got some great pictures of the Northern Lights from a rolling ship.
"
137,"
I have mounted my nikon d5600 on it and it wordks great, I would not use it outdoor in windy conditions though. I think its excellent as a phone accesory and for a dsrl too, but with caution for the latter.
"
138,"
Love the design and the capabilities.  Fotopro Tripod is going to be my companion during my working hours even though I will not be taking videos or photos.  If you continue to misplace your phone, worry no more.  I can see my phone from far away so it does not get lost anymore.  Love this device.
"
139,"
Bought this for my daughter who is into photography. She loved it. it is so versatile and can be taken anywhere and wrapped around anything and also can be used as a tripod stand. Perfect gift!!!!!!!
"
140,"
Perfect for blogging, selfies, etc. I’ve used it for sooo many different things. The bendy legs are like octopus legs and can hang only anything! Then, if you need it to be a tripod it works great too!It also folds up and fits in my bag well!
"
141,"
I just love this product. Still using. Light and Grip is good. Material used is good.
"
142,"
I like to build 3D puzzles and then record the finished product on my smartphone. This tripod allows me to free up both my hands as I show off my model build. It’s perfect. Very light easy to use and very portable.
"
143,"
I like the sturdiness of the item and the fact that we can place it to record our YouTube videos in the perfect spot without it falling. We use it to record our YouTube videos.
"
144,"
Good
"
145,"
Bends very easy.  Rubber grip on the legs is very nice.  Phone holder attachment is a plus as well.
"
146,"
I loved how you can use it for almost anything. The tripod is very flexible, so you can shape it for any angles you need when it comes to recording videos.
"
147,"
Versatility
"
148,"
Im using this product to hold my camera while I record for my youtube video, and this tripod is one of the best!
"
149,"
Exactly what I needed. So much better than my old one.  Easy to use and not too heavy.  Love it.  Would totally recommend it.
"
150,"
Haven't tried using the remote yet.  Stand is working g great! Wish it had a better swivel feature on the head. I think the more expensive version does.
"
151,"
It's a decent tripod. nothing special
"
152,"
I really love this tripod, I love that the legs of it are so adjustable and its easy to do so! This is a great quality product and I use it all the time!
"
153,"
Oh my gosh! This is a must! Best 18$ I’ve spent on a camera equipment. I love how small it is where you can bring with you anywhere you go. I love how the handles have grip to mount on to any surface. I simply love it!! I will be using this almost everyday.
"
154,"
Its versatile features enable you to attain a stable platform in almost any situation. It has a strong secure grip on almost any surface and still works well as a standard tripod. It is a bit on the heavy side.
"
155,"
Works great.  Exactly as described.  Have had it for a few months.  Took it to Europe and used it with a gopro and Canon M50.  Worked great with both.  Highly recommend.
"
156,"
perfect size lightweight use your rear camera or your cell phone it works wonders and it definitely comes in handy get yourself one you won't be disappointed
"
157,"
Great for unique situations like wrapping legs around a post or a ladder.
"
158,"
I love this! I tested it last week with my phone and it was so easy to use! I can't wait to try my new camera on it once that comes in. Would definitely recommend to any Youtuber, Vlogger, or Influencer!
"
159,"
I have had this for a little over a week but I can see that it should do all that I expect. I had another similar tripod for a couple of years, but chose to get this one because it is a little less bulky.
"
160,"
U absolutely love this tripod OMG I was looking for the perfect one to hold up my new canon EOS M100 and this was beyond my expectations very happy with purchase 😊☺️✨
"
161,"
Purchased for grandson in college. He loved it!
"
162,"
My Grandson uses it for You tube
"
163,"




                    The media could not be loaded.
                



 Leg broke at base , really sad because this thing is awesome
"
164,"
Easy to use
"
165,"
Very steady and strong tripod. It work prefect with everything. My phone my action camara and my Canon M50.
"
166,"
Excellent tripod.  Light weight and very stable.  Tried it a couple of times and I think this little tripod will last for a long time. I have iPhone 6 Plus with a heavy duty case, it can fit into this tripod without any problem.
"
167,"
Very functional tripod, I bought it to be my secondary tripod for my last trip and I barely had to use my main tripod because this was so easy and quick to adjust. I could place it on uneven surfaces and it was holding my Canon 80D with 18-135 lens quite well.
"
168,"
Great product
"
169,"
Easy to use for small camera
"
170,"
Very light weight and durable. It really worth it! I have had like 3 different ones and none compare to how good this one turned out.
"
171,"
Have an old sony a7, work great with it. Love the legs, instead of those bumpy legs that other similar tripods have and it's super sturdy for those wrap arounds. However, tried twisting the legs together like in the pic, ended up breaking a piece off.
"
172,"
This tripod is wonderful. It is sturdy and made of quality products. It works for vlogging.
"
173,"
This is a pretty light, compact, and versatile little tripod. It works well, feels and is stable and can be wrapped around objects to make a stand. This can be used with both a smart phone or a DSLR camera.
"
174,"
It's very nice but mine never came with a phone mount. I don't dona whole lot of stuff with my phone but it would've been nice if it came with it.
"
175,"
Sturdy and holds even my heaviest of cameras. It can bend into whatever shape you need and can take a beating
"
176,"
SUPER FLEXIBLE AND STURDY! LOVE THE BLACK AND RED COLOR AND DESIGN. ATTACHES NEARLY ANYWHERE !
"
177,"
I got this to be able to wrap around cruise railings to capture footage.  Just got back from the cruise and loved using this while filming on the cruise.  Worked really really well!
"
178,"
Finally able to hang my camera above my shower pointing to the rest of the room. I no longer get pranked.
"
179,"
Just what I was looking for!
"
180,"
I’m be only used for a few months, but I am very happy!  Will wrap around anything it can fit on and holds very well. Time will tell how long it lasts, but I have been overly pleased so far.
"
181,"
Fantastic product, just a note to others who want to put heavy camera+lens on this, my Nikon D750 + Nikkor 16-35f4 is the most it can take.
"
182,"
the tripod is functional as well as versatile.
"
183,"
Very compact, feels sturdy. Easy to use but it has a good grip.I've used it on some questionable terrain and it managed to stay put.
"
184,"
Has a nice grip on phone, used standing on table, hanging from shelf and in hand. Worked well in all cases. Also has standard camera mount.
"
185,"
Most of the time when I’m out shooting a take a folding tripod but ever since I bought this I’ve been leaving my larger tripods at home. I shoot with a canon 77d and it’s plenty of support
"
186,"
You’d think I’d dropped it but no, I didn’t even have it propped up on something hard. Took it out of the Amazon bag in gymnastic mats and proceeded to move the legs into a J position in order to shoot my form on a stretch and this plastic piece on the leg joint immediately snapped off. What a piece of crap! I didn’t even try to make the legs go into a U just a J shape and the thing snapped right at the joint. Sure it still works but I certainly don’t trust this tripod will hold together very long if pieces break off right out of the box.Otherwise it seems versatile enough and the legs are very flexible.
"
187,"
I loved my first so much, I ordered a second one. I added a Joby ball head to the UFO legs and now I have the perfect mini tripod for smaller cameras.
"
188,"
I don't expect this to last with heavy use, especially if I'm not careful with the legs. The legs may survive but the base plastic will most definitely break quickly. I would still recommend it for the price however and would caution against roughing it.
"
189,"
Item received promptly and it worked for what i needed it for. Thank You.
"
190,"
Boy am I glad I didnt use a fortune on a Gorillapod, this thing is awesome and sturdier than anything much more expensive, I love it and I plan on getting the other models in the series.
"
191,"
It's really strong can't wait use my camera
"
192,"
Works great with iPhone nice a firm!!
"
193,"
Bought this for a mirrorless camera for travel. Something small I could pack in my bag. This isn't meant to replace those big tripods, but this is versatile. The legs bend and grip so they can be wrapped around a pole, or on an incline, or something high or low. The problem, which is serious, is that my mirrorless camera shakes on it. Even with a remote shutter you see a small shake and I have it tightened as much as I date. It’s mostly plastic.  Don’t but this if you plan to use it for anything larger than a phone. Flexibility in design unfortunately equals flexibility in the mount and shaky pics.
"
194,"
Get's the job done exactly as it should
"
195,"
We use this to make vlogs. It’s lightweight and easy to setup. Love it
"
196,"
I LOVE this tripod so much I bought two! Super cool how they have an extension for your phone, I use mine with my Sony a6300 and it keeps it steady and supported!
"
197,"
Best handheld tripod I’ve had so far! Works like a charm, the legs can bend so it can sit at any angle you’d like. Also very stable for my g7x mark 2
"
198,"
Nice flexible tripod. Bought this for use on a vacation. Fit in my carry on nicely, and worked well at different locations for longer exposures. It wrapped around objects and held on well.
"
199,"
Great purchase for my GoPro. I can put this on anything that has a limb or ledge and twist my camera whichever way I need to. It stays put and is solidly built.
"
200,"
I love everything about it and the price is excellent
"
201,"
I purchased this tripod based off a recommendation to take videos using my iPhone. So far it has been great and perfect for what I needed.
"
202,"
Quality seems great but didn’t come with the attachments pictured to hold a phone vertically and customer service didn’t respond at all.
"
203,"
This tripod worked great for what I needed, however one of the legs broke internally after a short time rendering it useless.  It is a great design, just not very sturdy for repeated use.
"
204,"
Very cool device. It grips better than a GorrilaPod and is nice and light. The build quality is very nice. It’s all plastic but it feels like sturdy, quality plastics. I recommend it!
"
205,"
Perfect for vlogging which is what i needed it for wish it was more compact but that’s okay.
"
206,"
It is so versatile and flexible but sturdy and durable. Great product!
"
207,"
it would be better if the clamp extends more
"
208,"
I like the grip, easy to use. Great for extended handling and videos
"
209,"
This is a  awesome camera mount exceeds my expectations.I use it to hold a Fx  radar chronograph  and it works flawlessly .
"
210,"
Easy to used , small an portable.  It's perfect for my Canon M50.
"
211,"
Use it with my Canon 5D MarkIII and even with some larger zoom lenses, it is able to hold the load. Great for the price especially!
"
212,"
This tripod is awesome and so more comfortable than a gorilla pod, Perfect size for your backpack side pocket and great performance, I am so happy with this. 100% good
"
213,"
This one is good, but the one with the 360-degree swivel neck is much, much better. Get this one, you'll be much happier you did (I own both):https://www.amazon.com/gp/product/B073GW4ZWM/ref=ppx_yo_dt_b_search_asin_title
"
214,"
These hold up my phone and projector perfectly.
"
215,"
functional and as described, would recommend.
"
216,"
I love it and if needed i would shop again from this vendor
"
217,"
Seems very strong it holds my Nikon d3400 with out any problems. The tripod holds its shape very well and the legs click in to place so it feels very stable
"
218,"
The best !!!!!
"
219,"
at first i was like.. oh no..this thing won't work.. but i was proven wrong.  so happy with this purchase
"
220,"
But it just feels so cheap that something is bound to break. I wouldn't trust it with my high value camera but perfect for a point and shoot camera.
"
221,"
I love it
"
222,"
I love this product and use it almost daily for vlogging. It’s able to be attached to chairs, carts, held by hand, or stand on its own.
"
223,"
Great product. Just what I needed.
"
224,"
Such good quality, holds my camera anywhere! I wish it was a bit bigger, but still amazing
"
225,"
Love using this tripod.
"
226,"
It fits my LUMIX Fz300 perfectly! I’m loving this tripod. It also feels very safe for my camera.
"
227,"
I love this product! Flexible, Sturdy and can be used with DSLR and iPhone camera! Love love love
"
228,"
I like this for selfie stick and tripod use. Fits my phone
"
229,"
Love this for our Gopro Hero 7! It is so much more sturdy than the other options in this style. Definitely recommend it!
"
230,"
Works very well and is hardy.  Can take abuse.  It replace a different make that broke and this one is solidly made.
"
231,"
Buen material y muy funcional...
"
232,"
My grandson loved it
"
233,"
It is very sturdy and actually holds my camera which has an attached  lens
"
234,"
Better that what I expected. And a great buy for the price.
"
235,"
This has changed my vlogging game man. I love that it has an amazing attachment for your phone as well.
"
236,"
easily adjustable, mount just about anywhere.Solid bending legs are better than the pop-beads type tripod.Comes with small efficient smartphone clamp.Like it a lot!
"
237,"
Gave as a gift for my lil bro, he loved it!!
"
238,"
Only good for small cameras like go pro is not good for DSLR camera they are to heavy
"
239,"
Just received it and tested out today while our family doing camping over the weekend , this is good product guys , high quality stuff :-)
"
240,"
Perfect in any situation holds my dslr canon 60D and the clip holds bloggie touch and I phone. Great value
"
241,"
Exactly what I was looking for! Works perfect for my iPhone and my large DSLR. The legs are super moldable but sturdy. I love it!
"
242,"
Love it !! Use it for work outs or for work when i need to make how to videos .
"
243,"
I love it soo much. I'm using it for my iPhone and my DSLR canon camera.
"
244,"
Love it! Works great even with a heavier camera.
"
245,"
Great tripod, flexible. Grips things well.
"
246,"
OK, so to begin with, I did like this tripod, it is flexible and easy to set up, although I was disappointed that you can't swivel the top where you put your phone in. But anyway, the phone connector snapped up with very little pressure, I now can't use it...Having looked since, the plastic at the top is very cheap, I wouldn't recommend.
"
247,"
The experience thus far in using this most efficient tool- how the heck did I previously get by without it?!
"
248,"
Great for bloggers my YouTube is Life of Dionne
"
249,"
Works as advertised
"
250,"
very strong! I like it!
"
251,"
Works great
"
252,"
Versatile and lightweight perfect for my planned usage.
"
253,"
Love this handheld tripod! So glad I bought it!
"
254,"
I’m loving my tripod. It’s really easy to use. I use it to record my workouts and it’s so versatile!!!
"
255,"
Amazing it's just works. It's a great stabilizer and works with camera apps that take low light photos for me.
"
256,"
The tripod is very strong and easy to use.It fits my camera and cell phone.
"
257,"
I bought this thing a little over a month ago, I was being cheap not trying to buy a gorillapod because of the price, I was using it for my camera, mind you my cameras not heavy, one of the legs ended up breaking on me today while shooting, it was mostly kept in my gear bag I wasn’t abusing it or anything, I feel like it would’ve lasted longer had I used it specifically for my phone... possibly
"
258,"
Very flexible, grippy, holds its position.
"
259,"
Love it.
"
260,"
speedy delivery and it looks exactly as advertized. I cannot wait to start vlogging
"
261,"
Absolutely PERFECT for my Canon SL2. Probably the best budget Tripp’s I’ve ever had.
"
262,"
Amazing video and pictures quality:
"
263,"
Súper bien
"
264,"
This tripod is EVERYTHING! Do not pass it up. PURE QUALITY! I love it...
"
265,"
exactly as described. perfect for my sony a5000
"
266,"
Unfortunately this item broke within a week day of having it, we wanted it for our son to make home videos with on an old phone but the phone attachment was easily cracked when our youngest hit it on something.
"
267,"
Loved this tripod!!! It’s very sturdy
"
268,"
I use this every day! It's a perfect little tripod for vlogging cameras or phones.
"
269,"
I use this to vlog with and it’s perfect!!
"
270,"
My granddaughter loves it
"
271,"
The way it bends a grips is exactly what I need. Great for my iPhones video or my GoPro's.
"
272,"
I bought this for my son and he loves using it to take video in the outdoors.
"
273,"
Works just like I thought it would. Perfect for cell phone video. Great product for the price
"
274,"
I really love this tripod! The flexible legs are so awesome! Great value for the money!!
"
275,"
Best tripod ever,very sturdy and, comfortable grip.
"
276,"
This does exactly what a tri-pod with flexible legs should do.
"
277,"
Amazing product
"
278,"
So far so good, comes with a phone mount as well. I’ll update anything changes
"
279,"
Cute and sturdy
"
280,"
I used this on my trip to Tokyo. Smarthest gadget I could’ve taken there.
"
281,"
I used my M50 camera which is a pretty light weight camera. I've had it for a little over 2 weeks and one leg already broke. But overall I loved how light weight it was and easy to carry around.
"
282,"
The tripod itself has a good grip however the holding mount for The phone was terrible lasted me for a couple hours then broke
"
283,"
finally i found a great tripod that works very well and i can use for travel
"
284,"
We love it. Fits our camera and was made with good quality.
"
285,"
Just used it brand new for 30min. And I’m already satisfied for what it is at this price point. Definitely and help for tool for amateur to progressing film and picture taking stuff. Will update in 3months!. (UPDATE), I’m actually disappointed with how fast my tripod broke down, after 4 weeks, I noticed a significant weak joint that move your device forward/backwards. It has become practically useless🙁
"
286,"
Found this to be a pretty useful tool until it broke at the leg. Yes joby gorillapods can eventually loosen up but this one snapped entirely.
"
287,"
Works pretty much as a flexible tripod should. No problems or complaints considering price.
"
288,"
Wish it was I bit longer but great tool
"
289,"
I don’t have any problems with that. Like it a lot
"
290,"
Works great. Sturdy
"
291,"
Easy to use, durable
"
292,"
Love that I can get those hard-to-get shots!
"
293,"
No real issues with it, it works well
"
294,"
Very light weight and flexible.  durable plastic, great for iphones
"
295,"
Love it!
"
296,"
💜
"
297,"
It’s cost effective, works as it should. What more can you ask for?
"
298,"
Works well. No complaints.
"
299,"
simple, convenient and easy to use and store
"
300,"
Muy bueno
"
301,"
Love it. Great for beginners
"
302,"
Does the job.
"
303,"
This has become a must have item in my backpack!
"
304,"
Good quality
"
305,"
It has worked great on our recent trip. Good product.
"
306,"
Love it
"
307,"
This little tripod was amazing at first. I used it to take photos at my pole fitness business, as it can wrap around a pole easily!However, just a few months later, 2 of the 3 legs are now hanging limp, despite nothing detrimental ever happening to it, and the entire device is useless. It can not support itself with 1 leg. I tried to fix it and you cannot without ruining the device entirely so I didn't. I read there was a warranty, but contacting both the company and Amazon has lead nowhere so far. I get no reply.
"
308,"




                    The media could not be loaded.
                



 I was excited about this holder but disappointed to see this strange toxic looking powder that comes off the rubber everytime you touch it. See the video. I even tried cleaning this down thoroughly with a wet wipe but after it dried the same residue appeared again. There is a disturbing quality control issue going on here in China with this product.
"
309,"
It is very flexible & convenient!
"
310,"
Professional, well made, strong, versatile!
"
311,"
I like handle and size of tripod for Sony A6000 Camera
"
312,"
Holds my canon 80D perfectly
"
313,"
Very good design and is ok in quality
"
314,"
Does what it promises.
"
315,"
Exactly what I wanted.
"
316,"
Love my UFO Basic, nice durable and I love it.
"
317,"
This is perfect item! Durable, the right size..
"
318,"
Excellent
"
319,"
This is a really solid product. Does the job perfectly.
"
320,"
Bought this item for use specifically during a family vacation.  One of the legs snapped on day 5, making it no longer bendable and essentially rendering this device useless.  I may have bent it a total of 10 times to take various pictures requiring the use of this tripod prior to it breaking.  Obviously, the quality of this device leaves a lot to be desired.  Also, $20 to take 10 pictures isn't what I would consider a great value for the money.  Look elsewhere.
"
321,"
I bought this because I thought it was 17.9 inches in length, as advertised in the product description. It's not, it's 10.5 inches in length at best. When you add the attachment piece on top, add another inch. See pics.
"
322,"
Feels very durable!
"
323,"
Excellent quality from this tripod. Full recommended.
"
324,"
Alike a lot
"
325,"
Small and convenient
"
326,"
It's flexible and performs what I need.
"
327,"
Great for cell phone or big camera!
"
328,"
Works as expected. Good addition to my gear bag.
"
329,"
good stuff
"
330,"
Love this product
"
331,"
I recommend definitely!
"
332,"
Very versatile product
"
333,"
Better than I expected and more!
"
334,"
Absolutely Amazing!!
"
335,"
I was happy with this product until today. One of the legs broke and my camera almost went cascading into a waterfall. Not a happy customer!! :( :( :(
"
336,"
Works as advertised - very durable.
"
337,"
Very nice
"
338,"
Great vlog camera holder
"
339,"
Great product
"
340,"
More then happy with this product!
"
341,"
awesome very sturdy well made cute
"
342,"
Love this
"
343,"
Excelente
"
344,"
Really like this tripod
"
345,"
Exactly as described
"
346,"
Perfect
"
347,"
I never leave reviews but this is wild.  I got a used and broken item.  Clearly opened box.  No quality control.  This looks like a kid put it together.
"
348,"
Very useful, met expectations.
"
349,"
I really like it
"
350,"
I purchased this item because, as pictured on Amazon, it clips to a phone from the bottom.However, as the image attached shows, I was sent an item that clips over the phone.This tripod is more expensive than others, it does not come with a remote, and does not match what was being sold.
"
351,"
Wow
"
352,"
Good
"
353,"
I must say the product is sturdy and the handle is just want I needed ...BUT the attachment is not what is shown in the picture! NOT GOOD<<<NOT GOOD! Why would you show a product and is it not what is shown! Dahhhhh . Not happy!
"
354,"
I used this product a couple dozen times over the course of the last 4 months and one of the legs broke today making it non functional as a tripod. It was pretty good while it lasted but broke way too soon and for no logical reason.
"
355,"
I received this item and when I pulled out from box and bag, a piece of the tripod was already broken. I have never used it and didn't get to return. I travel so much that it's now I'm writing a review and it's too late to return. Not the best quality.
"
356,"
I had this tripod for 25 days and one of the bendy legs broke.  It is meant to be flexible but after bending too many times it just snapped.  25 days later, I am ordering another tripod.
"
357,"
This product is crap. Very flimsy and the legs do not lock in place causing the tripod feature to defeat the purpose. The 1st time They delivered the product, the package was empty! Stay away
"
358,"
This is a piece of junk.  The collar that joins the legs broke the second time I used it.
"
359,"
Stiff
"
360,"
It was standing and it feel and it just broke I was like wtf don’t buy please
"
361,"
have used for only a few months and have two legs broken!!
"
362,"
This product I received was terribly damaged.
"
363,"
Break easy
"
364,"
Easy to use and reliable
"
365,"
Versatility sturdiness easy to use
"
366,"
Great design, quality materials, and a great price and size!
"
367,"
using it for my GoPro hero 9 best versatile tripod works for every setting from hanging on tree branches, on a rail for a boat it holds on pretty well
"
368,"
My son bought this and he says it is ""way better than Gorilla Pod. The legs won't pop off at the joints. The phone holder is really nice.""He definitely likes it.
"
369,"
This has been a great little tripod and very versatile. I use it with my iPhone, but also to hold LED lights when I am doing video conferencing. I like it and have recommended it to others.
"
370,"
This works great with the attachment included for my phone and work great with my Camcorder
"
371,"
I received this product fast and in perfect shape. Great little tripod. I created my first YouTube video with this tripod. It fits both smartphone and camera which is what I was looking for.
"
372,"
Decent quality for the price. We only use it for our phones, so haven't seen how well it works with a full sized heavy camera. We like that it fits both our phones that are a bit larger with cases on them. (Google Pixel 2 and Samsung Galaxy 8 Edge). The clamp for the phone is not springloaded, but manually adjusted, so just make sure you phone is SECURELY CLAMPED before you prop your tripod.  (It has loosened with more use and is not as strongly clamped, but we only use it at home anyways.)  And the clamp can be screwed on two ways as shown in the picture.  The rubber grips are very fleible and grab on to odd hanging positions quite well.
"
373,"
This is literally the best camera tripod i have ever bought I recently bought this for the GoPro Hero 5 and let me just tell this tripod works perfectly for vlogging, it’s so flexible you can mount it practically anywhere, and it’s so durable and water proof this product is amazing ⭐️⭐️⭐️⭐️⭐️.
"
374,"
I absolutely love this tripod, I had one years ago and my dog chewed it up, but this one is much better made. I have been able to get some great photos with the flexability of this tripod. Would recommend to anyone.
"
375,"
I was excited about this but it broke after of weeks of indoor use.
"
376,"
I bought this to hold a small speaker. After 3 uses once leg broke off. I kept using as 2 let’s still function when gripping around something. After 2 more uses the 2nd leg broke and now this is no longer usable. Very cheaply made at the joint as it is all then plastic construction. I’m sure it’s fine if you just want a small tripod but if you plan on bending the legs around things to hold a camera or speaker this is not a good unit for you.
"
377,"
I love this little tripod. I've used it several times, primarily for long exposure photography. It is easy to manipulate the bendy legs, and it is reliably steady when used on my mirrorless with wide angle lens. When shooting, I recommend a short shutter delay to avoid shake.My favorite feature is the light weight construction. I attach the camera, swing my strap behind my right arm and set out. The slight extra weight is unnoticeable, and I leave it on even when shooting hand held.But you can easily slip one leg in a pocket or strap to a small bag with ease.Always verify weight limitations when buying a tripod being sure to choose one with specs exceeding the weight of your camera and heaviest lens combination.I recommend this product for mirrorless cameras or cell phones.
"
378,"
Im a small youtuber and I was looking to have something to carry my camera around to vlog with. This product is working out great for me. I feel it will last a long time. I love it.
"
379,"
*****
"
380,"
Sturdy and comes with holder attachment for phone.
"
381,"
Very handy and versatile tripod! Will order again as a gift because I want my family and friends to have this
"
382,"




                    The media could not be loaded.
                



 There’s a great grip, the sturdiness makes it easy to hold and control everything without worrying. It’s super easy to Bend and move the legs around. This product is such high quality for its price. Instead of buying a jobi I’d recommend this 10/10
"
383,"
I like this for taking shot with my phone that I want to be a part of. Set up the shot, trip the timer, and get in front of the camera. Quite stable and easy to use.
"
384,"
I'm pickey when it comes to camera gear. This thing is perfect for my phone, GoPro and Sony a6000. Feels like a cable, perfect blend of weight and sturdyness. I use it also to film kids at the skatepark. Its a great piece of equipment to have.
"
385,"
I like this tripod for its versatility. Will use often.
"
386,"
This is great for vlogging! It is really sturdy and you can bend it anyway you want
"
387,"
Very pleased with the quality of this. The top hinge of the legs snaps in and out, and the legs are very bendable. feels like beefy construction that won't wear out any time soon. I'm also not worried about using this outside and getting the material scratched or dirty, since it isn't delicate. Very good value for the money.
"
388,"
Bought this as a gift for my nephew who is a videographer.  He's rather rough and abusive on his equipment.  It has lasted over 2 years now. So, it's nephew approved.
"
389,"
perfect tripod
"
390,"
Love using this hold the camera for videos or to set up a tripod.
"
391,"
Works on anything your trying to film from
"
392,"
Flexible, small and sturdy. Good for travel.
"
393,"
AMAZING FOR CANON M50 ... JUST BUY IT YOU WONT REGRET IT
"
394,"
Highly recommend
"
395,"
Works as advertised, lightweight great for the trails
"
396,"
This is my second one. I used the hell out of the other one
"
397,"
A must have for vlogs!
"
398,"
It's sturdy and versatile. I use it for my sony camera and my phones.
"
399,"
Works really great! I was surprised to see how well it could hold up my DSLR camera, works well as a tripod too or handheld. Very satisfied with my purchase.
"
400,"
Purchased this item for vlogging! It’s very easy to use! I love the versatility and sturdiness. Can’t wait to start my vlogs
"
401,"
Noticed right away that last year’s model I bought is a pinch taller. That said, this design is so much more reliable and sturdy than joby, for the legs. These legs can be bent a million times and retain 100% of their dexterity, whereas Joby units’ integrity are entirely dependent on all those plastic ball joints. I ordered this 2nd one for my phone so I can leave my GoPro on the old one 24/7.
"
402,"
Got this for my son when he goes snowboarding. He loves it!
"
403,"
This tripod is amazing, lightweight and stable, the legs are strong.
"
404,"
Got this to help with videos and pictures and I love it. You can place it anywhere and have it stay!
"
405,"
My daughter loves it!! She use it for her YouTube channel🤩
"
406,"
Perfect
"
407,"
You can literally put this tripod anywhere
"
408,"
It's worth recommending
"
409,"
It works good with my mini projector.  Its sturdy and can be molded to hook to anything.  It also has a c clamp mount for cellphones which is awesome.
"
410,"
Es muy estable
"
411,"
The best tripod is the one you always carry with you, and on that principle I think these may be the best travel tripods. They are not full height by any means, but they weight close to nothing and can fit in any bag. They also grab on to any rail, branches, poles that I can find in the vicinity. This fotopro holds up my mirrorless (EM1) with zoom lens no problem, all I had to do was to get a better tripod head and I have a versatile travel tripod that's good for long exposure or selfies when I travel.
"
412,"
I love this product! It is so versatile and perfect for adjusting and getting a level platform for my phone. I hike and fish a lot and it is always hard to find a level spot on the ground. This product has completely solved that issue. It's also great because it can grasp onto things like railings and tree branches, so finding the right angle is a lot easier. Great product!
"
413,"
Nice, sturdy, lightweight and very flexible. The legs are long enough to give good support for larger heavier smartphones.  Love the tripod. The phone adapator is a bit on the flimsy side. Plastic knurled knob stripped right away.  I upgraded the phone adaptor to one that swiveled and am very happy now
"
414,"
Very strong and powerful. Able to carry my large camera and helps with travel photos
"
415,"
This thing is great. Bought it for the bath cause it's waterproof and it wraps around the handle on my soap holder very well. Keeps me from looking down at my mobile but up instead.
"
416,"
This tripod is perfect. Its strong and easy to use.My wife uses it for blogging and loves it!
"
417,"
Cumple con lo prometido. La calidad es aceptable para el precio incluso ligeramente superior a lo esperado.Tengo una Cámara Sony alpha y una Canon Rebel y el tripie las soporta perfectamente.Su peso es mínimo y eso es una ventaja para llevarlo de viaje.El adaptador para colocar el celular no es de lo mejor cumple su cometido, sin embargo la parte de plástico que está en contacto con la pantalla no tiene protección (material suave) por lo tanto hay que tener cuidado.
"
418,"
the more you use it the more it looses stability. Nice for a GoPro/osmo action but not that good with a camera.
"
419,"
Works as advertised.  Only small problem is that if you have a case that is on the ticket side (as in Otter Box) it might now be held as solidly in the phone holder as you would want.  Workaround is to take it out of the case or simply live with it. ;)
"
420,"
Totally solid, flexible and strong. I use it for an Anker mini projector which is pretty heavy and have no issues
"
421,"
This tripod is great quality. It has only a few parts which is great the cell phone holder can be adjusted for portrait or landscape super easily. It’s easy to maneuver the legs where you want to attach them. They bend easily without too much effort. This is the tripod you take every where.
"
422,"
Ha sido muy útil, tenemos más de un año usándolo. Para los tiempos de pandemia y cuarentena ha sido muy útil para hacer videollamdas desde el celular. Para fotos en el exterior es muy práctico por su versatilidad y ligereza (lo llevamos a todos lados).Lo hemos probado con el celular (aunque no nos encanta la manera en que se sujeta porque hace presión sobre la pantalla del teléfono, le damos un 4/5).Para la Go Pro es perfecta! No o hemos probado con cámara pesada de lentes aún.
"
423,"
Bought this because I needed a selfie stick but went with this for the flexibility so that I can not only hold up camera but place it on awkward surfaces for shooting. It holds my Canon Rebel t3i fairly well. The tripod is PERFECT for cell phones as its light and durable
"
424,"
La calidad del trípode es bastante buena, me gustó la textura de los materiales y la resistencia que tiene al soportar mi sony a6300.Lo super recomiendo
"
425,"
Es muy flexible, se adapta a cualquier superficie, además de ser ligero.Cuando grabo caminando se nota el movimiento, con este tripie los brincos desaparecen.Me gustó demasiado
"
426,"
I purchased this as a tripod for taking timed photos on my Sony Nex-6 and streaming video to twitch.It also has a handy bracket for holding a smartphone. The legs are sturdy and hold their position really well.Very happy with this product.
"
427,"
Buen producto, fácil de instalar aunque un poco débil en el soporte de celular podría ser un poco más fuerte aunque sirve prefecto.Esta más bajo de lo que pensé
"
428,"
I had this on my recent trip and it was great to have something that could easily attach to any post, rocky uneven surface, even hold outside the car while driving.
"
429,"
Excelente lo tengo por 5 meses ya y muy buenoNo se ve frágil ni parece que se romperá fácilSe enrolla fácilmente en cualquier superficie, árbol, poste etc
"
430,"
It works pretty good but not as steady as something with solid legs so attention needs yo be paid when using it.
"
431,"
En la descripción del producto incluye un adaptador para go pro y además un adaptador para tomas verticales, sin embargo no venían en la caja, no se como pueda proceder una aclaración.
"
432,"
Used this product as advertised and it has held up to the test with my Samsung S9 so far in multiple circumstances and positions.  Have not tried this with my camera as it will primarily be for the smart phone.
"
433,"
Was exactly what I was looking for. Seems well made ,and does what I was hoping it would. Basically just hold the camera securely, and place it almost anywhere you want for the angle you want. It’s perfect for me.
"
434,"
Excelente calidad. Muy resistente, le agregaría el adaptador para gopro. Lo compré en oferta muy buen precio por la calidad.
"
435,"
Es muy buena idea para cuando sales de acampada o excursiones, el no le pongo más puntos por la calidad del cabezal que es algo fragíl
"
436,"
Nice and sturdy with tight legs that stay where you put them.Good purchase.
"
437,"
A little flimsy in places, but overall, excellent. The bendy legs are superb.
"
